title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
To Kill a Mockingbird,Harper Lee,"July 11, 1960",4.26,6955310,323,134449,"Classics, Fiction, Historical Fiction, School, Literature, Young Adult, Historical"
The Great Gatsby,F. Scott Fitzgerald,"April 10, 1925",3.93,5982941,180,132632,"Classics, Fiction, School, Historical Fiction, Romance, Literature, Novels"
Romeo and Juliet,William Shakespeare,"January 1, 1590",3.74,2842845,281,38835,"Classics, Plays, Fiction, Romance, School, Shakespeare, Drama"
Pride and Prejudice,Jane Austen,"January 28, 1813",4.30,4867601,279,150738,"Classics, Romance, Fiction, Historical Fiction, Historical, Literature, Audiobook"
1984,George Orwell,"November 4, 1948",4.20,5552893,298,160331,"Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels"
Jane Eyre,Charlotte Brontë,"October 19, 1847",4.16,2349878,532,82559,"Classics, Fiction, Romance, Gothic, Historical Fiction, Literature, Historical"
Fahrenheit 451,Ray Bradbury,"January 1, 1953",3.97,2881834,249,98310,"Classics, Fiction, Science Fiction, Dystopia, School, Literature, Audiobook"
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"September 21, 1937",4.30,4502091,366,89834,"Fantasy, Classics, Fiction, Adventure, Young Adult, Audiobook, High Fantasy"
The Diary of a Young Girl,Anne Frank,"June 25, 1947",4.20,4232042,283,49566,"Classics, Nonfiction, History, Biography, Memoir, Historical, Holocaust"
Animal Farm,George Orwell,"August 17, 1945",4.02,4627033,141,138352,"Classics, Fiction, Dystopia, Fantasy, School, Politics, Literature"
A Christmas Carol,Charles Dickens,"December 19, 1843",4.09,947379,184,40012,"Classics, Fiction, Christmas, Fantasy, Audiobook, Literature, Historical Fiction"
Dracula,Bram Stoker,"May 26, 1897",4.02,1496150,488,64499,"Classics, Horror, Fiction, Fantasy, Gothic, Vampires, Audiobook"
Lord of the Flies,William Golding,"September 17, 1954",3.70,3232351,182,68646,"Classics, Fiction, Young Adult, School, Dystopia, Literature, Read For School"
Charlie and the Chocolate Factory,Roald Dahl,"January 17, 1964",4.17,937231,176,19157,"Fiction, Classics, Fantasy, Childrens, Young Adult, Middle Grade, Humor"
The Little Prince,Antoine de Saint-Exupéry,"April 6, 1943",4.33,2515625,96,87209,"Classics, Fiction, Fantasy, Childrens, France, Philosophy, Young Adult"
The Fellowship of the Ring,J.R.R. Tolkien,"July 29, 1954",4.41,3182121,527,54676,"Fantasy, Classics, Fiction, Adventure, Audiobook, High Fantasy, Epic Fantasy"
