title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
The Human Stain,Philip Roth,"May 10, 2000",3.92,46185,361,3325,"Fiction, Literature, Novels, Contemporary, American, Literary Fiction, Classics"
"So long, Yugoslavia",Kolya S,"June 13, 2016",4.60,80,270,51,Historical Fiction
Rainbow Valley,L.M. Montgomery,"January 1, 1919",4.01,57357,225,2932,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Canada, Historical"
The Doors of Perception & Heaven and Hell,Aldous Huxley,"January 1, 1956",3.90,76399,187,4196,"Philosophy, Nonfiction, Psychology, Classics, Essays, Spirituality, Drugs"
All the Pretty Horses,Cormac McCarthy,"January 1, 1992",4.06,149335,302,11612,"Fiction, Westerns, Historical Fiction, Classics, Literature, Novels, Literary Fiction"
The Little Match Girl,Hans Christian Andersen,"December 1, 1845",4.10,29089,32,1439,"Classics, Childrens, Christmas, Picture Books, Fiction, Short Stories, Fairy Tales"
The House on the Strand,Daphne du Maurier,"January 1, 1969",3.82,14946,298,1727,"Fiction, Classics, Time Travel, Historical Fiction, Science Fiction, Fantasy, Mystery"
The Harvester,Gene Stratton-Porter,"January 1, 1911",4.21,2234,528,275,"Fiction, Classics, Romance, Historical Fiction, Nature, Young Adult, Historical"
Chicken Soup with Rice: A Book of Months,Maurice Sendak,"January 1, 1962",4.24,30470,32,585,"Picture Books, Childrens, Poetry, Fiction, Classics, Food, Kids"
Manfred,Lord Byron,"January 1, 1817",3.78,3035,84,290,"Poetry, Classics, Plays, Gothic, Fiction, Drama, Romanticism"
Piercing,Ryū Murakami,"December 1, 1994",3.68,20434,184,2983,"Horror, Fiction, Japan, Japanese Literature, Thriller, Crime, Mystery"
"Rabbit Novels: Rabbit, Run and Rabbit Redux",John Updike,"January 1, 1981",3.99,1177,640,80,"Fiction, Literature, Classics, American, Literary Fiction, Novels, Contemporary"
Emily Climbs,L.M. Montgomery,"July 1, 1925",4.18,26225,325,1225,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Canada, Romance"
All My Sons,Arthur Miller,"January 1, 1947",3.92,30803,112,1501,"Plays, Classics, Drama, Fiction, Theatre, School, 20th Century"
The Marbled Swarm,Dennis Cooper,"November 1, 2011",3.47,1502,208,212,"Horror, Fiction, Queer, Thriller, Contemporary, LGBT, Mystery"
The End of the Affair,Graham Greene,"January 1, 1951",3.90,71536,7,6837,"Fiction, Classics, Romance, Audiobook, Literature, British Literature, Novels"
Misery,Stephen  King+,"June 8, 1987",4.23,792870,370,28465,"Horror, Fiction, Thriller, Mystery, Suspense, Audiobook, Mystery Thriller"
Wicked Lovely,Melissa Marr,"June 12, 2007",3.70,166523,328,7689,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Fae, Fairies"
The Truth About Forever,Sarah Dessen,"May 11, 2004",4.12,226516,374,9278,"Young Adult, Romance, Contemporary, Fiction, Chick Lit, Realistic Fiction, Teen"
Midnight’s Children,Salman Rushdie,"March 12, 1981",3.97,133933,647,9552,"Fiction, Magical Realism, Classics, India, Historical Fiction, Fantasy, Literature"
A Brief History of Time,Stephen W. Hawking,"September 1, 1988",4.21,483605,226,14197,"Science, Nonfiction, Physics, History, Astronomy, Classics, Philosophy"
American Pastoral,Philip Roth,"May 12, 1997",3.95,89181,432,6995,"Fiction, Classics, Literature, Novels, Historical Fiction, American, Literary Fiction"
The Foundation Trilogy,Isaac Asimov,"January 1, 1953",4.42,109260,679,2631,"Science Fiction, Fiction, Classics, Science Fiction Fantasy, Fantasy, Space Opera, Novels"
The Goose Girl,Shannon Hale,"August 4, 2003",4.15,148910,383,11601,"Fantasy, Young Adult, Romance, Fiction, Fairy Tales, Retellings, Middle Grade"
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,"January 1, 1971",4.17,186233,240,5337,"Fantasy, Fiction, Childrens, Classics, Young Adult, Middle Grade, Animals"
Emily of New Moon,L.M. Montgomery,"December 13, 1923",4.13,54830,339,3362,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Canada"
Princess Academy,Shannon Hale,"July 1, 2005",4.04,122541,314,9820,"Fantasy, Young Adult, Middle Grade, Fiction, Childrens, Romance, Fairy Tales"
Pak Tua yang Membaca Kisah Cinta,Luis Sepúlveda,"January 1, 1988",3.93,30939,116,2858,"Fiction, Classics, Novels, Spanish Literature, Romance, Roman, Latin American Literature"
Tartuffe,Molière,"May 12, 1664",3.66,43711,180,1722,"Plays, Classics, Drama, France, Theatre, Fiction, School"
"Winesburg, Ohio",Sherwood Anderson,"May 8, 1919",3.84,37251,247,3265,"Fiction, Classics, Short Stories, Literature, American, Literary Fiction, 20th Century"
Ask the Dust,John Fante,"January 1, 1939",4.10,39946,165,3084,"Fiction, Classics, Novels, American, Literature, The United States Of America, Romance"
The Complete Essays,Michel de Montaigne,"January 1, 1580",4.23,22297,1344,1225,"Philosophy, Classics, Essays, Nonfiction, France, History, French Literature"
The Yearling,Marjorie Kinnan Rawlings,"January 1, 1938",4.04,30717,513,1658,"Classics, Fiction, Young Adult, Historical Fiction, Animals, Childrens, Coming Of Age"
Never Let Me Go,Kazuo Ishiguro,"April 12, 2005",3.85,872448,288,75021,"Fiction, Science Fiction, Dystopia, Book Club, Contemporary, Literary Fiction, Classics"
The Year of Magical Thinking,Joan Didion,"September 1, 2005",3.93,307578,227,29326,"Nonfiction, Memoir, Biography, Grief, Audiobook, Biography Memoir, Book Club"
Ella Enchanted,Gail Carson Levine,"April 25, 1997",4.02,425045,240,13683,"Fantasy, Young Adult, Fiction, Middle Grade, Romance, Childrens, Fairy Tales"
Till We Have Faces,C.S. Lewis,"January 1, 1956",4.20,82569,313,8102,"Fiction, Fantasy, Classics, Mythology, Christian, Religion, Book Club"
Excellent Women,Barbara Pym,"January 1, 1952",3.91,21246,231,3113,"Fiction, Classics, Humor, British Literature, Book Club, Historical Fiction, Audiobook"
Bel Canto,Ann Patchett,"May 22, 2001",3.94,326656,318,23401,"Fiction, Book Club, Literary Fiction, Contemporary, Historical Fiction, Audiobook, Music"
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,"October 17, 1960",4.23,149645,1147,4878,"History, Nonfiction, War, World War II, Politics, Germany, Historical"
Queen Margot,Alexandre Dumas,"January 1, 1845",4.16,14755,542,632,"Classics, Historical Fiction, Fiction, France, Historical, French Literature, Adventure"
A Scandal in Bohemia,Ronald  Holt,"June 25, 1891",4.24,92781,85,1041,"Mystery, Classics, Fiction, Crime, Short Stories, Detective, Mystery Thriller"
Lucky Jim,Kingsley Amis,"January 1, 1954",3.75,32398,296,2592,"Fiction, Classics, Humor, British Literature, Literature, Novels, Comedy"
Divergent,Veronica Roth,"April 25, 2011",4.13,4413560,487,128020,"Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Romance, Adventure"
"Irrungen, Wirrungen",Theodor Fontane,"January 1, 1887",3.25,3865,189,199,"Classics, German Literature, Fiction, School, 19th Century, Germany, Literature"
Wild Swans: Three Daughters of China,Jung Chang,"January 1, 1991",4.30,125311,562,8518,"Nonfiction, History, China, Biography, Memoir, Asia, Historical"
The Last Unicorn,Peter S. Beagle,"March 1, 1968",4.16,124087,294,8362,"Fantasy, Classics, Fiction, Young Adult, Childrens, Adventure, Magic"
Anne of Windy Poplars,L.M. Montgomery,"June 28, 1936",4.01,112091,288,6212,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Romance, Historical"
Seven Pillars of Wisdom,T.E. Lawrence,"January 1, 1926",3.91,12271,559,1032,"History, Nonfiction, Biography, Classics, Middle East, War, Memoir"
A Suitable Boy,Vikram Seth,"May 1, 1993",4.11,50199,1474,3263,"Fiction, India, Historical Fiction, Classics, Indian Literature, Romance, Historical"
Where Angels Fear to Tread,E.M. Forster,"January 1, 1905",3.59,18034,104,1573,"Classics, Fiction, Italy, 20th Century, Historical Fiction, British Literature, Literature"
Caesar and Cleopatra,George Bernard Shaw,"January 1, 1898",3.69,2333,114,141,"Plays, Classics, Drama, Historical Fiction, Fiction, Theatre, Literature"
Le Malade imaginaire,Molière,"October 14, 1670",3.62,19775,255,798,"Classics, Plays, France, Theatre, Fiction, French Literature, School"
The Story of Doctor Dolittle,Hugh Lofting,"July 21, 1920",3.96,51834,144,1633,"Classics, Fiction, Childrens, Fantasy, Animals, Adventure, Audiobook"
The Host,Stephenie Meyer,"May 6, 2008",3.86,1052170,619,45461,"Fantasy, Young Adult, Science Fiction, Romance, Fiction, Dystopia, Paranormal"
Casino Royale,Ian Fleming,"January 1, 1953",3.74,97462,192,7240,"Fiction, Thriller, Classics, Mystery, Espionage, Audiobook, Adventure"
Tortilla Flat,John Steinbeck,"January 1, 1935",3.83,64304,207,4398,"Fiction, Classics, Literature, Historical Fiction, Novels, American, Literary Fiction"
