title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
The Regent's Gamble,A. Payne,"December 13, 2013",4.10,147,600,45,"Fantasy, Paranormal, Romance, Urban Fantasy, Paranormal Romance, Amazon, Thriller"
Money,Martin Amis,"January 1, 1984",3.70,26095,394,1620,"Fiction, Classics, Novels, Contemporary, Literature, Literary Fiction, British Literature"
High-Rise,J.G. Ballard,"November 1, 1975",3.63,41710,208,3941,"Fiction, Science Fiction, Dystopia, Horror, Thriller, Classics, Audiobook"
8:51 On the Blinking Clock and Other Stories,Giovanni Crisan,"December 17, 2012",4.89,9,268,0,
Lullaby,Chuck Palahniuk,"January 1, 2002",3.74,104113,260,3932,"Fiction, Horror, Contemporary, Fantasy, Thriller, Novels, American"
The Fall,Albert Camus,"May 16, 1956",4.03,139031,147,9986,"Fiction, Philosophy, Classics, France, Literature, French Literature, Novels"
The Man in the High Castle,Philip K. Dick,"October 1, 1962",3.59,238646,259,17265,"Science Fiction, Fiction, Classics, Dystopia, Alternate History, Historical Fiction, Fantasy"
Hell's Angels,Hunter S. Thompson,"February 17, 1966",3.98,55446,295,2333,"Nonfiction, History, Journalism, Memoir, Biography, Crime, True Crime"
Crash,J.G. Ballard,"June 28, 1973",3.63,32534,224,3031,"Fiction, Science Fiction, Horror, Novels, Contemporary, Literature, Classics"
Midnight Blue: Sonja Blue Collection,Nancy A. Collins,"January 1, 1988",4.22,1422,560,86,"Horror, Vampires, Urban Fantasy, Fantasy, Fiction, Paranormal, Supernatural"
The Marbled Swarm,Dennis Cooper,"November 1, 2011",3.47,1504,208,213,"Horror, Fiction, Queer, Thriller, Contemporary, LGBT, Mystery"
Epic of Lilith,Ivars Ozols,"November 17, 2017",4.24,29,Audiobook,5,
Paper Targets: Art Can Be Murder,Steve S. Saroff,"February 2, 2022",4.12,415,249,239,"Thriller, Fiction, Mystery, Mystery Thriller, Suspense, Crime, Audiobook"
The Doors of Perception & Heaven and Hell,Aldous Huxley,"January 1, 1956",3.90,76505,187,4209,"Philosophy, Nonfiction, Psychology, Classics, Essays, Spirituality, Drugs"
Adjustment Day,Chuck Palahniuk,"May 1, 2018",3.20,10079,316,1237,"Fiction, Dystopia, Science Fiction, Contemporary, Audiobook, Satire, Horror"
Asylum: A Hidden Tale - Sinister Tales,Anna Gallegos,"July 9, 2015",4.11,38,15,1,Horror
Imperial Bedrooms,Bret Easton Ellis,"June 15, 2010",3.20,21089,256,1704,"Fiction, Contemporary, American, Bret Easton Ellis, Horror, Thriller, Novels"
The Sacred Band,Janet E. Morris,"April 5, 2010",4.44,324,570,58,"Fantasy, Historical Fiction, Historical Fantasy, Heroic Fantasy, Adventure, Sword and Sorcery, Dark Fantasy"
The Steel Remains,Richard K. Morgan,"August 7, 2008",3.74,18509,391,1562,"Fantasy, Fiction, LGBT, Dark Fantasy, Queer, Epic Fantasy, High Fantasy"
The Killer Inside Me,Jim Thompson,"March 13, 1952",3.88,28847,244,1996,"Fiction, Crime, Mystery, Noir, Thriller, Horror, Mystery Thriller"
Horns,Joe  Hill,"February 7, 2010",3.93,121137,370,9997,"Horror, Fiction, Fantasy, Thriller, Mystery, Supernatural, Paranormal"
High Couch of Silistra,Janet E. Morris,"January 1, 1977",3.57,483,265,74,"Fantasy, Science Fiction, Fiction, Science Fiction Fantasy, Erotica, Post Apocalyptic, Dystopia"
Batman: Arkham Asylum - A Serious House on Serious Earth,Grant Morrison,"October 1, 1989",4.10,77953,216,3083,"Comics, Graphic Novels, Batman, Dc Comics, Horror, Fiction, Graphic Novels Comics"
The Catcher in the Rye,J.D. Salinger,"July 16, 1951",3.80,3934321,277,104790,"Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels"
Unwind,Neal Shusterman,"November 6, 2007",4.17,251540,337,25054,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Horror, Thriller"
Tropic of Capricorn,Henry Miller,"February 1, 1939",3.81,21470,348,1013,"Fiction, Classics, Literature, American, Novels, Erotica, The United States Of America"
Tropic of Cancer,Henry Miller,"January 1, 1934",3.65,78714,318,5274,"Fiction, Classics, Literature, Novels, Banned Books, American, Erotica"
Filth,Irvine Welsh,"January 1, 1998",3.82,32345,393,1398,"Fiction, Crime, Contemporary, Mystery, Novels, Thriller, Scotland"
The Mysteries of Udolpho,Ann Radcliffe,"January 1, 1794",3.43,17457,654,1801,"Classics, Gothic, Fiction, Horror, Romance, Mystery, 18th Century"
Ubik,Philip K. Dick,"May 1, 1969",4.11,125084,288,7970,"Science Fiction, Fiction, Classics, Novels, Mystery, Science Fiction Fantasy, Audiobook"
Lost Souls,Poppy Z. Brite,"September 1, 1992",3.90,19155,356,1127,"Horror, Vampires, Fiction, Fantasy, LGBT, Paranormal, Gothic"
Story of the Eye,Georges Bataille,"January 1, 1928",3.64,25942,103,3278,"Fiction, Horror, Classics, France, Erotica, Philosophy, Literature"
The Castle of Otranto,Horace Walpole,"January 1, 1764",3.19,43832,125,5079,"Classics, Gothic, Horror, Fiction, Fantasy, 18th Century, Mystery"
Moby Dick,Herman Melville,"October 18, 1851",3.57,622400,527,28560,"Classics, Fiction, Literature, Adventure, Historical Fiction, Novels, Audiobook"
The Idiot,Fyodor Dostoevsky,"January 1, 1869",4.21,222572,667,12605,"Classics, Fiction, Russia, Russian Literature, Literature, Philosophy, Novels"
The Bone Doll's Twin,Lynn Flewelling,"July 16, 2001",4.07,13325,524,710,"Fantasy, Fiction, High Fantasy, Epic Fantasy, Magic, LGBT, Queer"
What Hides Within,Jason  Parent,"July 25, 2012",4.01,299,332,141,"Horror, Thriller, Humor, Paranormal, Audiobook, Fiction"
The Hollow Vow,Dr John Pierre Craig,"February 6, 2026",5.00,9,708,9,
