Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres
244608633,"Kagoshima Geçidi (Ancestor Memories, #1)",Poppy Kuroki,"Kuroki, Poppy",Ezgi Uğur,6255882632,9786255882639,2,3.34,Artemis Yayınları,Paperback,304.0,2025.0,2025.0,2026-03-27,2026-03-27,,,read,,,,1,0,"Fantasy, Historical Fiction, Romance, Time Travel, Historical, Fiction, Japan"
33545325,Vejetaryen,Han Kang,"Kang, Han",S. Göksel Türközü,6055162784,9786055162788,5,3.65,April Yayıncılık,Paperback,160.0,2017.0,2007.0,2026-03-27,2026-03-27,,,read,,,,1,0,"Fiction, Horror, Contemporary, Literary Fiction, Book Club, Asia, Audiobook"
244123420,Ergenlik Dönemim,Yukio Mishima,"Mishima, Yukio",Ali Volkan Erdemir,9750766342,9789750766343,4,4.16,Can Yayınları,Paperback,76.0,2025.0,1973.0,2026-03-27,2026-03-27,,,read,,,,1,0,"Memoir, Nonfiction"
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,,,2,3.75,HarperVoyager,Kindle Edition,559.0,2025.0,2025.0,2026-03-27,2026-03-27,,,read,Böyle konulu bir kitap anca bu kadar kötü yazılabilirdi,,,1,0,"Fantasy, Dark Academia, Fiction, Romance, Audiobook, Historical Fiction, Mythology"
24213,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","Martin Gardner, John Tenniel",,,4,4.06,Penguin Group (USA),Paperback,239.0,2000.0,1871.0,2026-03-17,2026-03-16,,,read,,,,1,0,"Classics, Fantasy, Fiction, Childrens, Young Adult, Literature, Adventure"
13332441,2001: Bir Uzay Efsanesi,Arthur C. Clarke,"Clarke, Arthur C.","Oya İşeri, Ardan Tüzünsoy",9756902019,9789756902011,4,4.18,İthaki Yayınları,Paperback,365.0,1998.0,1968.0,2026-03-16,2026-03-16,,,read,,,,1,0,"Science Fiction, Fiction, Classics, Audiobook, Space, Science Fiction Fantasy, Fantasy"
18276483,Kurtlarla Koşan Kadınlar: Vahşi Kadın Arketipine Dair Mit ve Öyküler,Clarissa Pinkola Estés,"Estés, Clarissa Pinkola",Hakan Atalay,,,2,4.1,Ayrıntı Yayınları ,Paperback,538.0,2003.0,1992.0,2026-03-12,2026-03-12,,,read,Kitaptan rastgele üç bölüm falan seçip okursanız hepsini okumuş oluyorsunuz çoğu birbirinin aynısı,,,1,0,"Nonfiction, Feminism, Psychology, Spirituality, Self Help, Mythology, Womens"
10350478,Haşlanmış Harikalar Diyarı ve Dünyanın Sonu,Haruki Murakami,"Murakami, Haruki",Hüseyin Can Erkin,6051119639,9786051119632,1,4.11,Doğan Kitap,Paperback,561.0,2011.0,1985.0,2026-03-09,2026-03-09,,,read,Ben Haruki Murakamiyim. Okunurluğu önemsemeden birkaç yaratıcı metafor sıkıştırıp 73838393 bininci isimsiz manic pixie dream girl'ünü dünyanın en basit ana karakterine aşık edeyim ama üç cümlede bir kadınları aşağılamaktan da geri kalmayayım. Bu arada kitap boyunca karakterler betimlenmemiş bir arkaplan önünde konuşmak dışında bir şey yapmıyor. Kitabım 1500 lira bu arada buyurun iyi okumalar.,,,1,0,"Fiction, Fantasy, Magical Realism, Japan, Japanese Literature, Science Fiction, Contemporary"
242911669,"Oyunların Oyuncusu (Kültür, #2)",Iain M. Banks,"Banks, Iain M.",Doğa Özışık,6052656263,9786052656266,2,4.28,İthaki Yayınları,Paperback,392.0,2025.0,1988.0,2026-03-09,2026-03-09,,,read,,,,1,0,"Science Fiction, Fiction, Space Opera, Audiobook, Science Fiction Fantasy, Fantasy, Cultural"
222950704,Bozkırda Bir Kral Lear,Ivan Turgenev,"Turgenev, Ivan",Sabri Gürses,6059908594,9786059908597,2,3.63,Kırmızı Kedi,Paperback,196.0,2018.0,1870.0,2026-03-01,2026-03-01,,,read,,,,1,0,"Russia, Classics, Fiction, Russian Literature, Literature, 19th Century, Short Stories"
