Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
244608633,"Kagoshima Geçidi (Ancestor Memories, #1)",Poppy Kuroki,"Kuroki, Poppy",Ezgi Uğur,"=""6255882632""","=""9786255882639""",2,3.35,Artemis Yayınları,Paperback,304,2025,2025,2026/03/27,2026/03/27,,,read,,,,1,0
33545325,Vejetaryen,Han Kang,"Kang, Han",S. Göksel Türközü,"=""6055162784""","=""9786055162788""",5,3.65,April Yayıncılık,Paperback,160,2017,2007,2026/03/27,2026/03/27,,,read,,,,1,0
244123420,Ergenlik Dönemim,Yukio Mishima,"Mishima, Yukio",Ali Volkan Erdemir,"=""9750766342""","=""9789750766343""",4,4.16,Can Yayınları,Paperback,76,2025,1973,2026/03/27,2026/03/27,,,read,,,,1,0
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",2,3.75,HarperVoyager,Kindle Edition,559,2025,2025,2026/03/27,2026/03/27,,,read,Böyle konulu bir kitap anca bu kadar kötü yazılabilirdi,,,1,0
24213,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","Martin Gardner, John Tenniel","=""""","=""""",4,4.06,Penguin Group (USA),Paperback,239,2000,1871,2026/03/17,2026/03/16,,,read,,,,1,0
13332441,2001: Bir Uzay Efsanesi,Arthur C. Clarke,"Clarke, Arthur C.","Oya İşeri, Ardan Tüzünsoy","=""9756902019""","=""9789756902011""",4,4.18,İthaki Yayınları,Paperback,365,1998,1968,2026/03/16,2026/03/16,,,read,,,,1,0
18276483,Kurtlarla Koşan Kadınlar: Vahşi Kadın Arketipine Dair Mit ve Öyküler,Clarissa Pinkola Estés,"Estés, Clarissa Pinkola",Hakan Atalay,"=""""","=""""",2,4.10,Ayrıntı Yayınları ,Paperback,538,2003,1992,2026/03/12,2026/03/12,,,read,Kitaptan rastgele üç bölüm falan seçip okursanız hepsini okumuş oluyorsunuz çoğu birbirinin aynısı,,,1,0
10350478,Haşlanmış Harikalar Diyarı ve Dünyanın Sonu,Haruki Murakami,"Murakami, Haruki",Hüseyin Can Erkin,"=""6051119639""","=""9786051119632""",1,4.11,Doğan Kitap,Paperback,561,2011,1985,2026/03/09,2026/03/09,,,read,Ben Haruki Murakamiyim. Okunurluğu önemsemeden birkaç yaratıcı metafor sıkıştırıp 73838393 bininci isimsiz manic pixie dream girl'ünü dünyanın en basit ana karakterine aşık edeyim ama üç cümlede bir kadınları aşağılamaktan da geri kalmayayım. Bu arada kitap boyunca karakterler betimlenmemiş bir arkaplan önünde konuşmak dışında bir şey yapmıyor. Kitabım 1500 lira bu arada buyurun iyi okumalar.,,,1,0
242911669,"Oyunların Oyuncusu (Kültür, #2)",Iain M. Banks,"Banks, Iain M.",Doğa Özışık,"=""6052656263""","=""9786052656266""",2,4.28,İthaki Yayınları,Paperback,392,2025,1988,2026/03/09,2026/03/09,,,read,,,,1,0
222950704,Bozkırda Bir Kral Lear,Ivan Turgenev,"Turgenev, Ivan",Sabri Gürses,"=""6059908594""","=""9786059908597""",2,3.63,Kırmızı Kedi,Paperback,196,2018,1870,2026/03/01,2026/03/01,,,read,,,,1,0
43721254,Uğultulu Tepeler,Emily Brontë,"Brontë, Emily",Naciye Akseki Öncül,"=""9750738918""","=""9789750738913""",5,3.90,Can Yayınları,Paperback,408,2019,1847,2026/02/23,2026/02/23,,,read,,,,1,0
702288,Parallel Myths,J.F. Bierlein,"Bierlein, J.F.",,"=""0345381467""","=""9780345381460""",3,3.77,Ballantine Books,Paperback,353,1994,1994,2026/02/18,2026/02/18,,,read,,,,1,0
45437968,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,"Rice, Anne",,"=""0345313860""","=""9780345313867""",4,4.11,Ballantine Books,Mass Market Paperback,576,2014,1985,2026/02/14,2026/02/14,,,read,,,,1,0
22844208,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""1408855712""","=""9781408855713""",3,4.62,Bloomsbury,Paperback,620,2014,2007,2026/02/10,2026/02/10,,,read,,,,1,0
197750636,Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.",Kemal Baran Özbek,"=""9752733735""","=""9789752733732""",3,4.30,İthaki Yayınları,Paperback,368,2023,1937,2026/02/09,2026/02/09,,,read,,,,1,0
8391824,"Şafak Vakti (Alacakaranlık, #4)",Stephenie Meyer,"Meyer, Stephenie",,"=""9944821551""","=""9789944821551""",1,3.76,Epsilon Yayınevi,Paperback,592,2009,2008,2026/01/31,2026/01/31,,,read,,,,1,0
19505000,Sırça Fanus,Sylvia Plath,"Plath, Sylvia",Handan Saraç,"=""6054764713""","=""9786054764716""",3,4.05,Kırmızı Kedi Yayınevi,Paperback,251,2013,1963,2026/01/26,2026/01/26,,,read,,,,1,0
11128691,"Harry Potter ve Melez Prens (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.","Sevin Okyay, Kutlukhan Kutlu","=""9750809955""","=""9789750809958""",3,4.58,Yapı Kredi Yayınları,Paperback,594,2005,2005,2026/01/24,2026/01/24,,,read,,,,1,0
41117298,"Tutulma (Alacakaranlık, #3)",Stephenie Meyer,"Meyer, Stephenie",Eren Abaka,"=""9944822124""","=""9789944822121""",2,3.74,Epsilon Yayınları,Paperback,664,2009,2007,2026/01/24,2026/01/24,,,read,,,,1,0
29096887,Kadın,Simone de Beauvoir,"Beauvoir, Simone de",Bertan Onaran,"=""""","=""""",3,4.00,Payel,Paperback,210,1969,,2026/01/21,2026/01/21,,,read,,,,1,0
209342477,Kendine Ait Bir Oda,Virginia Woolf,"Woolf, Virginia","Suğra Öncü, Mîna Urgan","=""975053624X""","=""9789750536243""",5,4.22,İletişim Yayınları,Paperback,152,2024,1929,2026/01/21,2026/01/21,,,read,,,,1,0
15792183,"Cariyeler, Bacılar, Yurttaşlar: Kimlikler ve Toplumsal Dönüşümler",Deniz Kandiyoti,"Kandiyoti, Deniz",,"=""9753421508""","=""9789753421508""",4,4.27,Metis Yayınları,Paperback,241,2007,2007,2026/01/21,2026/01/21,,,read,,,,1,0
6164596,Bir Bilim Adamının Romanı: Mustafa İnan,Oğuz Atay,"Atay, Oğuz",,"=""""","=""""",3,4.08,İletişim Yayıncılık,Paperback,280,2000,1975,2026/01/13,2026/01/13,,,read,,,,1,0
28352795,Ortaçağ Estetiğinde Sanat ve Güzellik,Umberto Eco,"Eco, Umberto",Kemal Atakay,"=""9755108327""","=""9789755108322""",3,3.97,Can Yayınları,Paperback,265,2000,1987,2026/01/11,2026/01/11,,,read,,,,1,0
10164955,"Mort (Discworld, #4)",Terry Pratchett,"Pratchett, Terry",,"=""006180388X""","=""9780061803888""",2,4.24,HarperCollins e-books,Kindle Edition,287,2009,1987,2026/01/09,2026/01/02,,,read,,,,1,0
216970860,Girl on Girl: How Pop Culture Turned a Generation of Women Against Themselves,Sophie Gilbert,"Gilbert, Sophie",,"=""0593656296""","=""9780593656297""",0,3.88,Penguin Press,Hardcover,352,2025,2025,,2026/01/04,to-read,to-read (#21),to-read,,,,0,0
1047811,Monsters From The Id: The Rise Of Horror In Fiction And Film,E. Michael Jones,"Jones, E. Michael",,"=""1890626066""","=""9781890626068""",3,4.08,Spence Publishing Company,Hardcover,298,2000,2000,2026/01/04,2026/01/04,,,read,"Ele aldığı konular çok ilginç ve kesinlikle araştırılmıştı, ama keşke AVRUPADA diye belirtseydi başlıkta çünkü sadece orayı temel almış.",,,1,0
11405746,"İnce Memed 4 (İnce Memed, #4)",Yaşar Kemal,"Kemal, Yaşar",,"=""""","=""9789750806995""",3,4.62,Yapı Kredi Yayınları,Paperback,639,2004,1987,2025/12/30,2025/12/30,,,read,,,,1,0
56668041,Bir Noel Şarkısı,Charles Dickens,"Dickens, Charles",Çiçek Eriş,"=""6254051826""","=""9786254051821""",4,4.09,Türkiye İş Bankası Kültür Yayınları,Paperback,104,2021,1843,2025/12/26,2025/12/26,,,read,,,,1,0
20332359,"Yeniay (Alacakaranlık, #2)",Stephenie Meyer,"Meyer, Stephenie",Öncü Saraç Tüzüner,"=""9944822116""","=""9789944822114""",4,3.62,Epsilon,Paperback,544,2009,2006,2025/12/20,2025/12/20,,,read,Peak,,,1,0
809995,Prodigal Genius: The Life of Nikola Tesla,John J. O'Neill,"O'Neill, John J.",,"=""1596057130""","=""9781596057135""",3,3.97,Cosimo Classics,Paperback,336,2006,1943,2025/12/20,2025/12/20,,,read,,,,1,0
