Title,Author,CallNumber
"Vurulduk ey halkım : unutma bizi : Uğur Mumcu : unutmadık seni","Deniz, Som,","PN5355 .T8 U388 1996"
"Genel ve teknik iletişim","Tutar, Hasan","P90"
"Ebedi mucize","Buck, Pearl S. (Pearl Sydenstricker), 1892-1973,","PS3503 .U198 E84 2022"
"Ein Tag wie ein Leben : Roman","Sparks, Nicholas,","PS3569.P363 W43 2005"
"The elements of style","Strunk, William, 1869-1946,","PE1408 .S772 1979"
"Innsmouth'un üzerindeki gölge","Lovecraft, H. P. (Howard Phillips), 1890-1937","PS3523.O833 S519 2020"
"Building skills for proficiency : a comprehensive workbook for proficiency, KPDS and TOEFL","Öztürk, Cesur,","PE1114 .O98 1998"
"Cupido : Thriller","Hoffman, Jilliane, 1967-","PS3608 .O478 R4815 2005"
"Le jardin de Badalpour : roman","Mourad, Kenizé, 1939-","PQ2673.O9467 J37 1998"
"Kafka ve Amerika hayali : roman analizi ve yorumu","Fırtına, Özlem.","PT2621.A26Z55F57 2006"
"Uyumsuz Defne Kaman'ın maceraları: toprak","Uzuner, Buket, 1955-","PL248 .U986 U96 2015"
