Title,Author,CallNumber,Subject
"Onun şeytanları","Aksoy, Beyza,","PL249.A37 O56 2023","Turkish fiction"
"Altına tapanlar","Topkaya, Barış,","PL248.T67 A46 2025","Turkish fiction"
"Aylardan kasım günlerden perşembe","Kulin, Ayşe,","PL248 .K85 A95 2025","Turkish fiction"
"Ölüme fısıldayan adam","Yılmaz, Büşra,","PL248.Y51 Y51 2023","Turkish fiction"
"Ruhumu öpmeyi unuttun","Aral, İnci,","PL248.A728 R8 2025","Turkish fiction"
"Kutsal kehanet : Eklopsi II","Haviters, Katia,","PL249.H38 K97 2025","Turkish fiction"
"Ateşpare","Melek, Ceren, 2000-","PL249 .M45 A84 2025 V.1","Turkish fiction"
"Lanetin tarihi","Işık, Sena Nur,","PL248.I81 L26 2022","Turkish fiction"
"Annemin uyurgezer geceleri : roman","Tunç, Ayfer,","PL248.T849 A56 2025","Turkish fiction"
"Açık yaralar ve dikiş izleri","Aksoy, Beyza,","PL249.A37 A18 2024","Turkish fiction"
"Kendi gecesinde","Aral, İnci, 1944-","PL248 .A728 K331 2014","Turkish fiction"
"Frenk sokağı’nda sonbahar","Çağlayan, B. Suat,","PL248 .C13 F879 2025","Turkish fiction"
"Baba oğul hikâyeleri : roman","Erdem, Bahadır, 1966-","PL248 .B34 B33 2025","Turkish fiction"
"Yılmaz öğretmen : roman","Balbay, Mustafa,","PL248 .B35 Y55 2024","Turkish fiction"
"Gökyüzünün cenneti","Işık, Sena Nur,","PL248.I81 G53 2023","Turkish fiction"
"Küllerin kehaneti","Işık, Sena Nur,","PL248.I81 K96 2023","Turkish fiction"
"Güllerin ihaneti","Işık, Sena Nur,","PL248.I81 G561 2022","Turkish fiction"
"Kelepçe","Tan, Canan, 1951-","PL248.T36 K29 2024","Turkish fiction"
"Kırmızı buğday","Büke, Ahmet, 1970-","PL248.B85 K599 2025","Turkish fiction"
"Başkalarının tanrısı : roman","Söğüt, Mine, 1968-","PL248.S556 B37 2024","Turkish fiction"
"İncirlik Yazı","Yazıcıoğlu, Taçlı,","PL248.Y35 I372 2024","Turkish fiction"
"Beş sevim apartmanı : rüya tabirli cinperi yalanları","Söğüt, Mine, 1968-","PL248.S568 B48 2023","Turkish fiction"
"Kırmızı zaman : roman","Söğüt, Mine, 1968-","PL248.S556 K57 2022","Turkish fiction"
